map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
warehouse-10-20-10-2-1,50,repair5e2_guarded_oracle_aligned_selector_force_additive_parity,3,3,1.0,1.0774394449566667,407.6666666666667,1321.6666666666667,1.0,20228.666666666668,0.0011666666666666665,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 6}",0.0,0.0,-1.3333333333332575
warehouse-10-20-10-2-1,50,repair5e_caseb_ood_guard_distilled,3,3,1.0,1.0774394449566667,407.6666666666667,1290.3333333333333,1.0,20228.666666666668,0.3107666666666667,2.0,3.0,0.0,0.6,0.0,,"{""additive_ltm"": 6}",0.0,0.0,-32.66666666666674
warehouse-10-20-10-2-1,50,repair5e_caseb_ood_guard_force_additive_parity,3,3,1.0,1.0774394449566667,407.6666666666667,1292.0,1.0,20228.666666666668,0.0011666666666666665,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 6}",0.0,0.0,-31.0
warehouse-10-20-10-2-1,100,always_additive_defer,3,3,1.0,1.13971749334,198.33333333333334,2757.3333333333335,1.0,19662.333333333332,0.0006333333333333334,0.6666666666666666,1.0,0.0,0.6,0.0,,"{""additive_ltm"": 2}",0.0,-0.3333333333333144,87.66666666666697
warehouse-10-20-10-2-1,100,lacam_star,3,3,1.0,1.1424659003833333,3787.0,3049.3961,1.0,,0.0,0.0,0.0,0.0,,,,{},0.002748407043333234,3588.3333333333335,379.7294333333334
warehouse-10-20-10-2-1,100,lacam_star_ltm,3,3,1.0,1.13971749334,198.66666666666666,2669.6666666666665,1.0,19662.333333333332,0.0,0.0,0.0,0.0,,,,{},,,
warehouse-10-20-10-2-1,100,oracle_teacher_forced_best_safe_update_static_proxy,3,3,1.0,1.13971749334,198.66666666666666,2547.6666666666665,1.0,19662.333333333332,0.0,0.0,1.0,0.0,0.5,0.5,,"{""commit_heavy"": 2, ""wait_heavy"": 1}",0.0,0.0,-122.0
warehouse-10-20-10-2-1,100,repair3_safe_runtime,3,3,1.0,1.13971749334,198.66666666666666,2579.6666666666665,1.0,19662.333333333332,0.20913333333333334,1.0,1.0,0.0,0.5,0.5,,"{""block_light"": 3}",0.0,0.0,-90.0
warehouse-10-20-10-2-1,100,repair5d_composite_diagnostic_distilled,3,3,1.0,1.13971749334,198.66666666666666,2627.6666666666665,1.0,19662.333333333332,0.17943333333333333,1.0,1.0,0.0,0.5,0.5,,"{""commit_heavy"": 1, ""wait_light"": 2}",0.0,0.0,-42.0
warehouse-10-20-10-2-1,100,repair5d_force_additive_defer_parity,3,3,1.0,1.13971749334,198.66666666666666,2663.6666666666665,1.0,19662.333333333332,0.0007333333333333333,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 3}",0.0,0.0,-6.0
warehouse-10-20-10-2-1,100,repair5e2_guarded_oracle_aligned_selector,3,3,1.0,1.13971749334,198.66666666666666,2584.0,1.0,19662.333333333332,0.19113333333333332,1.0,2.0,0.0,0.6666666666666666,0.0,,"{""additive_ltm"": 3}",0.0,0.0,-85.66666666666652
warehouse-10-20-10-2-1,100,repair5e2_guarded_oracle_aligned_selector_force_additive_parity,3,3,1.0,1.13971749334,198.66666666666666,2584.0,1.0,19662.333333333332,0.0006666666666666666,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 3}",0.0,0.0,-85.66666666666652
warehouse-10-20-10-2-1,100,repair5e_caseb_ood_guard_distilled,3,3,1.0,1.13971749334,198.66666666666666,2621.0,1.0,19662.333333333332,0.15783333333333333,1.0,2.0,0.0,0.6666666666666666,0.0,,"{""additive_ltm"": 3}",0.0,0.0,-48.666666666666515
warehouse-10-20-10-2-1,100,repair5e_caseb_ood_guard_force_additive_parity,3,3,1.0,1.13971749334,198.66666666666666,2602.3333333333335,1.0,19662.333333333332,0.0009,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 3}",0.0,0.0,-67.33333333333303
