candidate_id,runtime_method,enable_dual_channel,alpha_cong_commit_progress,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,alpha_flow_commit_progress,alpha_flow_wait_progress,rho_cong_decay,rho_flow_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,goal_projection_mode,flow_shield_beta,max_flow_shield,notes,diagnostic_only,phase5p5_allowed,phase6_allowed,component
shield_c125_b125_w075_d095_beta0p1_max0p5,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p1_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p2_max0p25,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p2_max0p5,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p2_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p35_max0p25,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p35_max0p5,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p35_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p05_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p05_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p05_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p1_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p1_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p1_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p2_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p2_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p2_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p35_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p35_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p05_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p05_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p05_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p1_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p1_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p1_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p2_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p2_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p2_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p35_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p35_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c100_b100_w075_d095_beta0p35_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
wait_additive_wp0p25_wn1,repair5g1_wait_additive_wp0p25_wn1,True,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_additive_wp0p5_wn1,repair5g1_wait_additive_wp0p5_wn1,True,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_additive_wp0p75_wn1p25,repair5g1_wait_additive_wp0p75_wn1p25,True,1.0,1.0,1.0,0.75,1.25,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c125_b125_w075_d095_wp0p25_wn1,repair5g1_wait_c125_b125_w075_d095_wp0p25_wn1,True,1.25,1.25,1.25,0.25,1.0,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c125_b125_w075_d095_wp0p5_wn1,repair5g1_wait_c125_b125_w075_d095_wp0p5_wn1,True,1.25,1.25,1.25,0.5,1.0,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c125_b125_w075_d095_wp0p75_wn1p25,repair5g1_wait_c125_b125_w075_d095_wp0p75_wn1p25,True,1.25,1.25,1.25,0.75,1.25,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c100_b125_w075_d100_wp0p25_wn1,repair5g1_wait_c100_b125_w075_d100_wp0p25_wn1,True,1.0,1.0,1.25,0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c100_b125_w075_d100_wp0p5_wn1,repair5g1_wait_c100_b125_w075_d100_wp0p5_wn1,True,1.0,1.0,1.25,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c100_b125_w075_d100_wp0p75_wn1p25,repair5g1_wait_c100_b125_w075_d100_wp0p75_wn1p25,True,1.0,1.0,1.25,0.75,1.25,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c100_b100_w075_d095_wp0p25_wn1,repair5g1_wait_c100_b100_w075_d095_wp0p25_wn1,True,1.0,1.0,1.0,0.25,1.0,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c100_b100_w075_d095_wp0p5_wn1,repair5g1_wait_c100_b100_w075_d095_wp0p5_wn1,True,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
wait_c100_b100_w075_d095_wp0p75_wn1p25,repair5g1_wait_c100_b100_w075_d095_wp0p75_wn1p25,True,1.0,1.0,1.0,0.75,1.25,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Wait-gated C-only control with reduced progress-exit wait spillover.,True,False,False,wait_gated
random_static_diagnostic,repair5g1_random_static_diagnostic,True,0.8,0.8,1.2,0.6,0.6,1.0,0.0,0.95,1.0,1.0,0.025,0.75,11.0,agent_progress,0.0,0.0,Deterministic random diagnostic candidate; never promotable.,True,False,False,diagnostic
