candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c044742,warehouse,100,500,blind_short1000_t100_i4,207,0,207,-0.00463786205193,95,74,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short2000_t050_i2,257,0,257,-0.00498623676447,126,90,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short2000_t050_i4,314,0,314,-0.00621040343506,162,96,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short2000_t100_i2,346,0,346,-0.00324563634884,148,125,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short2000_t100_i4,417,0,417,-0.00473850044827,197,144,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short5000_t050_i2,261,0,261,-0.00374352006284,122,96,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short5000_t050_i4,311,0,311,-0.00565743000743,150,96,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short5000_t100_i2,347,0,347,-0.00262430459141,151,124,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short5000_t100_i4,413,0,413,-0.00488325419753,197,150,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short1000_t050_i2,209,0,209,-0.00258709645627,91,74,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short1000_t050_i4,172,0,172,-0.00501070901174,77,56,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short1000_t100_i2,155,0,155,-0.00231761205103,67,56,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short1000_t100_i4,130,0,130,5.93567109231e-05,62,42,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short2000_t050_i2,413,0,413,0.000220901830508,163,161,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short2000_t050_i4,348,0,348,-0.00241137692075,151,139,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short2000_t100_i2,311,0,311,-0.00183335617855,139,107,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short2000_t100_i4,261,0,261,-0.00143230093533,115,104,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short5000_t050_i2,417,0,417,-0.00169629111213,181,161,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short5000_t050_i4,345,0,345,-0.00112943781096,156,124,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short5000_t100_i2,313,0,313,-0.00281225688681,147,101,False,False,False,False,False
g556_c044742,warehouse,50,1000,blind_short5000_t100_i4,259,0,259,-0.00391129380915,122,78,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short1000_t050_i2,208,0,208,-0.00340543586091,95,63,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short1000_t050_i4,173,0,173,-0.00116189090179,72,75,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short1000_t100_i2,157,0,157,-0.00107463870178,70,59,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short1000_t100_i4,129,0,129,-0.00335576601085,62,42,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short2000_t050_i2,417,0,417,-0.00119029494132,170,151,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short2000_t050_i4,345,0,345,0.000108239712754,143,129,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short2000_t100_i2,313,0,313,-0.00384682320891,145,97,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short2000_t100_i4,259,0,259,-0.00145349214027,123,83,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short5000_t050_i2,415,0,415,-0.0021214118126,185,149,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short5000_t050_i4,348,0,348,-0.00049468934069,147,130,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short5000_t100_i2,309,0,309,-0.00225997549887,137,119,False,False,False,False,False
g556_c044742,warehouse,50,2000,blind_short5000_t100_i4,261,0,261,-0.00205137294536,126,88,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short1000_t050_i2,207,0,207,-0.00190613738372,91,62,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short1000_t050_i4,174,0,174,-0.00494940543172,92,55,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short1000_t100_i2,155,0,155,-0.00190015266006,62,56,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short1000_t100_i4,131,0,131,-0.00159838155565,49,46,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short2000_t050_i2,416,0,416,-0.00252999359964,176,144,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short2000_t050_i4,345,0,345,-0.000134930804406,145,130,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short2000_t100_i2,312,0,312,-0.00270636163958,145,113,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short2000_t100_i4,260,0,260,-0.00283050146942,120,93,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short5000_t050_i2,416,0,416,-0.00269150376663,173,149,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short5000_t050_i4,347,0,347,-0.00112986526965,157,124,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short5000_t100_i2,312,0,312,-0.00208876071522,129,122,False,False,False,False,False
g556_c044742,warehouse,50,500,blind_short5000_t100_i4,258,0,258,-0.00238267090504,114,99,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short1000_t050_i2,417,0,417,0.00622031835767,141,205,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short1000_t050_i4,344,0,344,0.00688170201424,127,173,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short1000_t100_i2,313,0,313,0.00367636609895,123,143,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short1000_t100_i4,259,0,259,0.00579363557633,95,120,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short2000_t050_i2,208,0,208,0.00301680623313,83,98,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short2000_t050_i4,172,0,172,0.00259448741326,67,73,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short2000_t100_i2,155,0,155,-0.0037312646391,72,55,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short2000_t100_i4,131,0,131,0.00879028138305,53,62,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short5000_t050_i2,414,0,414,0.00359938752273,153,204,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short5000_t050_i4,349,0,349,0.00484009290032,131,165,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short5000_t100_i2,311,0,311,0.00113557577646,129,129,False,False,False,False,False
g556_c063174,maze,100,1000,blind_short5000_t100_i4,260,0,260,0.011460823706,86,137,False,False,False,False,False
g556_c063174,maze,100,2000,blind_short1000_t050_i2,415,0,415,0.00433520605229,152,198,False,False,False,False,False
g556_c063174,maze,100,2000,blind_short1000_t050_i4,347,0,347,0.00215830054712,144,158,False,False,False,False,False
g556_c063174,maze,100,2000,blind_short1000_t100_i2,310,0,310,0.00475916711658,110,151,False,False,False,False,False
g556_c063174,maze,100,2000,blind_short1000_t100_i4,261,0,261,0.00606517211636,93,127,False,False,False,False,False
g556_c063174,maze,100,2000,blind_short2000_t050_i2,209,0,209,0.00329802282756,88,96,False,False,False,False,False
g556_c063174,maze,100,2000,blind_short2000_t050_i4,172,0,172,0.00742321985971,61,85,False,False,False,False,False
