map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,always_additive_defer,True,True,1.24783790462,1.24783790462,0.0,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,lacam_star,True,True,1.24783790462,1.32171979244,0.07388188781999983,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.24783790462,1.22041018038,-0.027427724240000062,True
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.24783790462,1.25945144552,0.011613540899999997,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.24783790462,1.24783790462,0.0,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.24783790462,1.24783790462,0.0,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.24783790462,1.24783790462,0.0,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.24783790462,1.24783790462,0.0,False
maze-32-32-4,100,4,maze-32-32-4-random-4.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.24783790462,1.24783790462,0.0,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,always_additive_defer,True,True,1.23311156602,1.23311156602,0.0,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,lacam_star,True,True,1.23311156602,1.30066530194,0.06755373592000002,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.23311156602,1.20726714432,-0.02584442170000001,True
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.23311156602,1.24437052201,0.011258955990000041,False
maze-32-32-4,100,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.23311156602,1.23311156602,0.0,False
