agents,better,equal,map,mean_delta_ratio_vs_ltm,method,rows,worse
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_random_static_diagnostic,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g2_random_candidate_diagnostic,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g2_shuffled_flow_shield_diagnostic,25,4
50,0,22,warehouse-10-20-10-2-1,0.0029272696420000075,repair5g2_shuffled_goal_progress_diagnostic,25,3
50,1,21,warehouse-10-20-10-2-1,0.0027009485384000076,repair5g_dual_additive_parity,25,3
50,1,22,warehouse-10-20-10-2-1,0.0025365509020000053,repair5g_dual_c_equiv_additive,25,2
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,repair5g_dual_c_equiv_c100_b100_w075_d090,25,1
50,2,23,warehouse-10-20-10-2-1,-0.0016858934916000035,repair5g_dual_c_equiv_c100_b100_w075_d095,25,0
50,2,23,warehouse-10-20-10-2-1,-0.0016858934916000035,repair5g_dual_c_equiv_c100_b100_w075_d100,25,0
50,2,23,warehouse-10-20-10-2-1,-0.0016858934916000035,repair5g_dual_c_equiv_c100_b125_w075_d100,25,0
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,repair5g_dual_c_equiv_c125_b125_w075_d095,25,1
100,6,18,warehouse-10-20-10-2-1,0.0,always_additive_defer,25,0
100,6,14,warehouse-10-20-10-2-1,0.0,laur_disable,25,4
100,5,12,warehouse-10-20-10-2-1,0.0,laur_force_additive_direct,25,6
100,6,16,warehouse-10-20-10-2-1,0.0,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,25,2
100,5,15,warehouse-10-20-10-2-1,0.0,repair5f_candidate_additive_ltm,25,3
100,7,17,warehouse-10-20-10-2-1,0.0,repair5f_static_c100_b100_w075_d090,25,1
100,6,18,warehouse-10-20-10-2-1,0.0,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,25,0
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,25,2
100,6,17,warehouse-10-20-10-2-1,0.0,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,25,1
100,6,18,warehouse-10-20-10-2-1,0.0,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,25,0
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,25,1
100,5,15,warehouse-10-20-10-2-1,0.0,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,25,3
100,4,17,warehouse-10-20-10-2-1,0.0,repair5g1_random_static_diagnostic,25,1
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,25,1
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,25,2
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,25,2
100,6,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,25,1
100,7,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,25,1
100,6,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,25,2
100,6,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,25,2
100,6,14,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,25,4
100,6,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,25,1
100,6,15,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,25,3
100,6,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,25,0
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,25,1
100,5,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,25,0
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,25,1
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,25,1
100,6,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,25,1
100,7,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,25,1
100,5,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,25,0
100,7,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,25,0
100,7,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,25,0
100,7,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,25,1
100,6,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,25,0
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,25,1
100,6,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,25,0
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,25,1
100,4,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,25,2
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,25,1
100,5,18,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,25,0
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,25,2
100,4,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,25,2
100,6,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,25,1
100,6,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,25,2
100,6,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,25,2
100,6,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,25,2
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,25,2
100,6,17,warehouse-10-20-10-2-1,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,25,1
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g2_random_candidate_diagnostic,25,2
100,7,16,warehouse-10-20-10-2-1,0.0,repair5g2_shuffled_flow_shield_diagnostic,25,2
100,7,17,warehouse-10-20-10-2-1,0.0,repair5g2_shuffled_goal_progress_diagnostic,25,1
100,6,14,warehouse-10-20-10-2-1,0.0,repair5g_dual_additive_parity,25,4
100,6,13,warehouse-10-20-10-2-1,0.0,repair5g_dual_c_equiv_additive,25,5
100,5,15,warehouse-10-20-10-2-1,0.0,repair5g_dual_c_equiv_c100_b100_w075_d090,25,3
100,5,17,warehouse-10-20-10-2-1,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,25,1
100,6,16,warehouse-10-20-10-2-1,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,25,2
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g_dual_c_equiv_c100_b125_w075_d100,25,2
100,5,16,warehouse-10-20-10-2-1,0.0,repair5g_dual_c_equiv_c125_b125_w075_d095,25,2
