candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,shortlist_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02557,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0122152681726,-0.0111378510403,1314,434,140,200,1,True,True,True,False,materialization_gate_not_met,0.850784260657,1.25,1.27273916774,1.25,0.75,0.75,1.03548034398,0.258130825631,0.966617571467,1,0.971142623143,0.323806017387,0.383490519091,0.787853242853,0.985992316993,10.5971668812,1,0,0,False,False,False,False,False
g554_c00036,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0117549766853,-0.0106887083208,1305,483,140,200,1,True,True,True,False,materialization_gate_not_met,0.805964778992,1.25,1.27956705082,1.25,0.75,0.75,0.972708201708,0.24456017706,0.936680882181,1,1.0388953239,0.2275,0.364406146406,0.809117867868,0.963606170605,10.4764471497,1,0,0,False,False,False,False,False
g554_c01023,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0117220946722,-0.0106548470266,1295,472,140,200,1,True,True,True,False,materialization_gate_not_met,2.4079110813,1.25,1.21541634042,1.25,0.75,0.75,1.02991096741,0.466145787331,0.934300581176,1,0.86222434103,1,0.320944550945,0.772178459678,0.362527469996,10.5123003498,1,0,0,False,False,False,False,False
g554_c00980,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0112490327753,-0.0101739256224,1293,472,140,200,1,True,True,True,False,materialization_gate_not_met,0.908263377005,1.25,1.17330557956,1.25,0.75,0.75,1.12629420129,0,0.903152436902,1,0.969303069303,0,0.376338466338,0.79593970219,0.913724788725,11.3153227403,1,0,0,False,False,False,False,False
g554_c01035,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.011145032491,-0.0101093820087,1247,487,140,200,1,True,True,True,False,materialization_gate_not_met,1.56884249394,1.25,1.30881878632,1.25,0.75,0.75,0.92754943255,0.179959072395,0.9175,1,0.981795480688,0.65,0.379146725947,0.783115810616,0.711436743967,11.4212196482,1,0,0,False,False,False,False,False
g554_c00954,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0105576825478,-0.00950098284679,1234,491,140,200,1,True,True,True,False,materialization_gate_not_met,0.299320793026,1.25,1.25,1.25,0.75,0.75,1,0.2,0.95,1,1,0.111512936974,0.375348689303,0.791616216768,1,11,1,0,0,False,False,False,False,False
g554_c02564,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0105132265019,-0.00946276713381,1242,491,140,200,1,True,True,True,False,materialization_gate_not_met,1.1026104151,1.25,1.3661525224,1.25,0.75,0.75,0.881841919342,0.0630232192732,1,1,0.964842814843,0,0.378542988543,0.782427782428,0.940460890461,10.1826634327,1,0,0,False,False,False,False,False
g554_c00066,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0104124886844,-0.00935482279897,1238,512,140,200,1,True,True,True,False,materialization_gate_not_met,0.884679649909,1.25,1.26906794782,1.25,0.75,0.75,1.07382590383,0.178119564369,0.9175,1,0.973357126583,0.288198016103,0.320878390079,0.800866239616,0.968413010413,11.0589059863,1,0,0,False,False,False,False,False
g554_c01046,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.009957832343,-0.00888959329892,1204,524,140,200,1,True,True,True,False,materialization_gate_not_met,1.8584367846,1.25,0.770291852797,1.25,0.75,0.75,0.941951152451,0.614405346905,0.921518747319,1,0.983595391683,0.65,0.380056799657,0.787407813657,0.950942435943,10.692044187,1,0,0,False,False,False,False,False
g554_c00984,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00949170795185,-0.00848194515434,1218,519,140,200,1,True,True,True,False,materialization_gate_not_met,0.35,1.25,1,1.25,0.75,0.75,1,0,0.95,1,0.85,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01116,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00947577150937,-0.008428455986,1193,538,140,200,1,True,True,True,False,materialization_gate_not_met,0.274897098539,1.25,1.25,1.25,0.75,0.75,1,0.2,0.95,1,1,0.0682435835128,0.382857274285,0.785412229176,1,11,1,0,0,False,False,False,False,False
g554_c00069,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00935350021089,-0.00832061116992,1225,503,140,200,1,True,True,True,False,materialization_gate_not_met,0.23,1.25,1.35,1.25,0.75,0.75,1,0,0.95,1,0.85,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01015,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.00899609702969,-0.00787808776249,1160,568,140,200,1,True,True,True,False,materialization_gate_not_met,0.916192086543,1.25,1.1945041504,1.25,0.75,0.75,1.07400602551,0.19901963652,0.9175,1,0.997713045823,0.198537283175,0.317276159276,0.806548301548,0.954940485941,11.2294976405,1,0,0,False,False,False,False,False
g554_c00990,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00875326814967,-0.00773840983231,1181,546,140,200,1,True,True,True,False,materialization_gate_not_met,0.656383275118,1.25,1.29557313932,1.25,0.75,0.75,1.02600625726,0,0.906787615538,1,0.985660585661,0,0.389142809143,0.779276185526,0.971621284121,11.1837450087,1,0,0,False,False,False,False,False
g554_c00067,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.00822610778734,-0.00605596966408,1168,733,140,200,1,True,True,True,False,materialization_gate_not_met,0.35,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,1.1875,1,11,1,0,0,False,False,False,False,False
g554_c02495,stage2,,2081,2081,0,1,-0.998558385392,2078,-0.00770753235979,-0.00669787372643,1120,565,140,200,1,True,True,True,False,materialization_gate_not_met,1.0476513894,1.25,1.29739803177,1.25,0.75,0.75,1.03758808759,0.169862123252,0.935206490206,1,0.979288340808,0.35,0.380764640765,0.769907410532,0.752545120566,10.7500684751,1,0,0,False,False,False,False,False
g554_c02424,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.00768755323503,-0.00668756304384,1132,577,140,200,1,True,True,True,False,materialization_gate_not_met,0.359525401717,1.25,1.25827979734,1.25,0.75,0.75,0.989576302076,0.0231553122178,0.969124659125,1,0.977624758875,0,0.365121740122,0.779126068189,0.990012202512,10.7668549731,1,0,0,False,False,False,False,False
g554_c02436,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.00760810872502,-0.00576300549295,1128,736,140,200,1,True,True,True,False,materialization_gate_not_met,1.70325104947,1.25,1.18986622987,1.25,0.75,0.75,0.961544811045,0.59147005772,0.9175,1,0.980343083343,0.426284357431,0.26738465509,1.11369041671,1,10.4669472329,1,0,0,False,False,False,False,False
g554_c02478,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.00749286708964,-0.00635344912126,1128,597,140,200,1,True,True,True,False,materialization_gate_not_met,1.4381180228,1.25,1.02948975985,1.25,0.75,0.75,1.02955733006,0.609495924496,0.973124780625,1,1.0327338935,0.4874001602,0.328267275067,0.805429049179,0.960372099372,11.1645868726,1,0,0,False,False,False,False,False
