candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,random,1000,29,0,0,0,24,0,5,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,random,2000,17,0,2,3,10,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,random,500,24,0,0,2,22,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,warehouse,2000,12,1,0,2,3,0,6,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,maze,1000,80,0,0,0,80,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,maze,2000,73,0,15,20,52,1,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,maze,500,80,0,0,0,40,0,40,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,random,1000,91,0,0,0,79,1,11,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,random,2000,87,1,13,19,55,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,random,500,80,5,0,8,66,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,warehouse,1000,28,0,0,0,0,0,28,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,warehouse,2000,13,0,0,2,5,0,6,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,maze,1000,112,0,0,0,101,0,11,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,maze,2000,106,0,0,0,99,0,7,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,random,1000,123,0,0,0,110,0,13,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,random,2000,116,0,0,0,109,0,7,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,random,500,100,0,0,0,89,0,11,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,warehouse,1000,36,0,0,0,0,0,36,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,warehouse,2000,22,0,0,0,13,0,9,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,maze,2000,42,1,9,9,32,0,0,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,random,1000,57,7,0,0,44,0,6,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,random,2000,55,7,10,12,31,1,4,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,random,500,44,0,0,1,40,0,3,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,warehouse,2000,20,2,0,3,9,0,6,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,maze,1000,46,0,0,0,45,0,1,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,maze,2000,44,0,5,6,33,3,2,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,random,1000,56,5,3,3,44,0,4,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,random,2000,52,4,7,10,33,3,2,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,random,500,44,2,0,1,38,0,3,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,warehouse,2000,20,2,0,3,9,0,6,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,maze,2000,42,2,10,10,30,0,0,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,random,1000,55,7,0,0,44,0,4,0,0,False,False,False,False,False
