agents,map,scen,seed,selector_better_than_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_selected_source_method,selector_worse_than_static,static_delta_ratio_vs_ltm
50,random-32-32-20,random-32-32-20-random-147.scen,147,False,0.0008424599899998775,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0008424599899998775
50,random-32-32-20,random-32-32-20-random-148.scen,148,False,-0.01620162015999993,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.01620162015999993
50,random-32-32-20,random-32-32-20-random-149.scen,149,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-150.scen,150,False,-0.015912897819999827,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.015912897819999827
50,random-32-32-20,random-32-32-20-random-151.scen,151,False,-0.015416238440000063,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.015416238440000063
50,random-32-32-20,random-32-32-20-random-152.scen,152,False,-0.031276415890000075,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.031276415890000075
50,random-32-32-20,random-32-32-20-random-153.scen,153,False,-0.01438848920999991,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.01438848920999991
50,random-32-32-20,random-32-32-20-random-154.scen,154,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-155.scen,155,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-156.scen,156,False,-0.02030947776000014,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.02030947776000014
50,random-32-32-20,random-32-32-20-random-157.scen,157,False,-0.09015715466999996,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.09015715466999996
50,random-32-32-20,random-32-32-20-random-158.scen,158,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-159.scen,159,False,-0.03350970017999999,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.03350970017999999
50,random-32-32-20,random-32-32-20-random-160.scen,160,False,-0.012106537530000017,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.012106537530000017
50,random-32-32-20,random-32-32-20-random-161.scen,161,False,-0.04360753221000002,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.04360753221000002
50,random-32-32-20,random-32-32-20-random-162.scen,162,False,-0.030136986299999835,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.030136986299999835
50,random-32-32-20,random-32-32-20-random-163.scen,163,False,-0.07020702070000007,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.07020702070000007
50,random-32-32-20,random-32-32-20-random-164.scen,164,False,-0.009541984740000009,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.009541984740000009
50,random-32-32-20,random-32-32-20-random-165.scen,165,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
100,random-32-32-20,random-32-32-20-random-126.scen,126,False,-0.07360627178000012,0.012195121949999832,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.08580139372999995
100,random-32-32-20,random-32-32-20-random-127.scen,127,True,-0.09521660649999997,-0.03474729241999985,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.060469314080000114
100,random-32-32-20,random-32-32-20-random-128.scen,128,True,-0.046315789479999925,-0.02484210527000008,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,False,-0.021473684209999844
100,random-32-32-20,random-32-32-20-random-129.scen,129,False,-0.06450157871000006,0.01353179972999996,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,-0.07803337844000002
