agents,c_equiv_delta_ratio_vs_ltm,classification,flow_shield_hurts_c_equiv_safe,joint_ltm_classification,map,seed,selector_avoids_harm_vs_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_missed_gain_vs_static,selector_source_method,static_delta_ratio_vs_ltm
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,54,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,55,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,56,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,57,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,58,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,59,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,60,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,61,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_wins_over_static,False,mixed,warehouse-10-20-10-2-1,62,True,0.0,-0.02729231505999996,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.02729231505999996
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,63,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,64,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
