pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,support_rows_existing,success_regression_count_existing,quality_delta_existing,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_strata_existing
g554_pool_844395078166,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001056_t035,0.629660080676,1.06966008068,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.03235414646,1.25,1.30200805848,1.25,0.75,0.75,1,0.35,0.95,1,0.925279699441,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_246263216303,g553_high_quality_nearmiss,repair5g549_theta_549001056,1.79902880194,0.332362135275,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_high_quality_nearmiss,28,0,-0.03235414646,1.25,1.39859445281,1.25,0.75,0.75,1,1,0.95,1,0.786513426973,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,4
g554_pool_905254690924,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001305_t035,0.540070829858,0.926595836809,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.032321856598,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.390106244787,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_254880083446,g553_high_quality_nearmiss,repair5g549_theta_549001305,2.04305951388,0.576392847213,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.032321856598,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.11458927082,0.35,0.75,1,11,0,0,1,False,False,False,False,False,4
g554_pool_890749010426,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001687_t035,0.42956031838,1.11236211278,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,shrinkage_to_hand_from_risky,28,0,-0.0322145144703,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.167898654203,0.349843970312,0.796791056418,1,11,1,0,0,False,False,False,False,False,
g554_pool_539506298530,g553_high_quality_nearmiss,repair5g549_theta_549001687,1.22731519537,0.454367941264,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,g553_high_quality_nearmiss,28,0,-0.0322145144703,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.479710440579,0.349554200892,0.883688732623,1,11,1,0,0,False,False,False,False,False,4
g554_pool_572281241455,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549000050_t035,0.747960789072,1.13530339438,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,28,0,-0.0317077388897,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1.04564235872,0.389493046015,0.35,0.75,1,10.3493744013,1,0,0,False,False,False,False,False,
g554_pool_767639423052,g553_high_quality_nearmiss,repair5g549_theta_549000050,2.63703082594,1.17036415928,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.0317077388897,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.13040673919,1.11283727433,0.35,0.75,1,9.14106971786,0,0,1,False,False,False,False,False,4
g554_pool_790100727368,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000792_t035,0.482897744204,1.2677996544,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,29,0,-0.0316072890673,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.857984634031,0.0913235673528,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_660763955445,g553_zero_regression_low_support,repair5g549_theta_549000792,1.37970784058,0.89847520305,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,29,0,-0.0316072890673,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.594241811516,0.260924478151,0.35,0.75,1,11,1,0,0,False,False,False,False,False,4
