pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_rows_existing,success_regression_count_existing,quality_delta_existing,support_strata_existing
g554_pool_354540507615,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000793_t035,0.515032719935,0.951633946732,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.356683849133,0.95,1,1,0.344528460943,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00180997805818,
g554_pool_332956117373,g553_zero_regression_low_support,repair5g549_theta_549000989,1.39472083056,0.673618672763,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,0.928772242456,1.25,0.75,0.75,1,1,0.95,1,0.956145787708,0.440826618347,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00196558777565,4
g554_pool_290547113928,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000989_t035,0.488152290695,1.1890998688,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.13757028486,1.25,0.75,0.75,1,0.35,0.95,1,0.984651025698,0.154289316421,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00196558777565,
g554_pool_105277937286,g553_zero_regression_low_support,repair5g549_theta_549000837,1.40575934681,0.328738034191,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.707765984468,0.440459519081,0.723948802102,1,11,1,0,0,False,False,False,False,False,29,0,0.001989079726,4
g554_pool_136979651365,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000837_t035,0.492015771385,1.0683916453,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.247718094564,0.381660831678,0.740882080736,1,11,1,0,0,False,False,False,False,False,29,0,0.001989079726,
g554_pool_187842343620,g553_zero_regression_low_support,repair5g549_theta_549001173,1.49429101142,0.297685804627,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1.20331884336,0.95,1,1,0.797453905092,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00214940219714,4
g554_pool_796774299480,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001173_t035,0.523001853995,0.943664812671,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.421161595176,0.95,1,1,0.279108866782,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00214940219714,
g554_pool_611595995228,g553_zero_regression_low_support,repair5g549_theta_549001105,1.54351751297,0.0768508463,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.11527626945,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.002152933568,4
g554_pool_017344660362,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001105_t035,0.540231129538,0.926435537129,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.390346694307,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.002152933568,
g554_pool_586436547163,g553_zero_regression_low_support,repair5g549_theta_549001114,1.96490117021,0.498234503539,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.719158561683,10.5048829902,1,0,0,False,False,False,False,False,29,0,0.002152933568,4
g554_pool_184164989107,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001114_t035,0.687715409565,1.12771540956,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.901705496589,10.8267090466,1,0,0,False,False,False,False,False,29,0,0.002152933568,
g554_pool_454769847237,g553_zero_regression_low_support,repair5g549_theta_549001104,2.43081823837,0.964151571703,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.379957490085,11.5497129006,1,0,0,False,False,False,False,False,29,0,0.002152933568,4
g554_pool_870765689777,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001104_t035,0.850786383427,1.29078638343,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.78298512153,11.1923995152,1,0,0,False,False,False,False,False,29,0,0.002152933568,
