agents,map,method,method_delta_ratio_vs_ltm,oracle_delta_ratio_vs_ltm,oracle_method,regret_to_oracle,scen,seed
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,always_additive_defer,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,laur_disable,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,laur_force_additive_direct,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.023113824690000007,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.016572176179999953,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g2_frozen_static_or_selector,-0.023113824690000007,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.016572176179999953,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,-0.023113824690000007,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.016572176179999953,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.023113824690000007,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.016572176179999953,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,-0.03968600086999996,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.03968600086999996,repair5g51_runtime_bad_g5_stump,0.03968600086999996,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,always_additive_defer,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,laur_disable,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,laur_force_additive_direct,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.046764545950000125,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g2_frozen_static_or_selector,-0.046764545950000125,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,-0.046764545950000125,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.046764545950000125,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,-0.023382272979999952,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.023382272970000173,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.046764545950000125,repair5g2_best_frozen_static_candidate,0.046764545950000125,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,always_additive_defer,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,laur_disable,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,laur_force_additive_direct,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.04139860139000007,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g2_frozen_static_or_selector,0.02097902098000004,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.06237762237000011,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.022097902100000066,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.06349650349000013,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.04139860139000007,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.04139860140000007,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.08279720279000014,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.04139860139000007,repair5g2_best_frozen_static_candidate,0.04139860139000007,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g2_best_frozen_static_candidate,0.006327822010000039,0.0,always_additive_defer,0.006327822010000039,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g2_frozen_static_or_selector,0.012043274139999838,0.0,always_additive_defer,0.012043274139999838,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.036538068999999895,0.0,always_additive_defer,0.036538068999999895,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,0.02041232905000001,0.0,always_additive_defer,0.02041232905000001,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.005715452140000021,0.0,always_additive_defer,0.005715452140000021,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g2_best_frozen_static_candidate,0.04493871991999998,0.0,always_additive_defer,0.04493871991999998,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g2_frozen_static_or_selector,0.031774852470000114,0.0,always_additive_defer,0.031774852470000114,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.058556513839999935,0.0,always_additive_defer,0.058556513839999935,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,0.04493871991999998,0.0,always_additive_defer,0.04493871991999998,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.025419881970000002,0.0,always_additive_defer,0.025419881970000002,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,always_additive_defer,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,laur_disable,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,laur_force_additive_direct,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.01674399838999996,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g2_frozen_static_or_selector,0.006052047610000111,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.02279604600000007,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.02198910630999995,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.03873310469999991,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,0.029655033280000076,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.046399031670000035,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.04296953803000014,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.0597135364200001,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.01674399838999996,repair5g2_best_frozen_static_candidate,0.01674399838999996,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,always_additive_defer,0.0,-0.008939657310000015,repair5g2_frozen_static_or_selector,0.008939657310000015,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,laur_disable,0.0,-0.008939657310000015,repair5g2_frozen_static_or_selector,0.008939657310000015,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,laur_force_additive_direct,0.0,-0.008939657310000015,repair5g2_frozen_static_or_selector,0.008939657310000015,maze-32-32-4-random-140.scen,140
