comparator,target_rule,map_name,agents,opportunity_bucket,decision_target,sample_count,use_nonadditive_target_count,matched_oracle_count,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,utility_regret_to_oracle,selected_delta,additive_delta,selected_vs_additive_delta,selected_vs_additive_utility,high_margin_nonadditive_capture,avoidable_additive_or_defer,harmful_false_negative_selected_count,harmful_false_negative_selected_rate,harmful_false_positive_proxy_count,harmful_false_positive_proxy_rate,decision_accuracy
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,wait_heavy,,,,,104,65,104,0.0,0.5538461538461539,0.009615384615384616,0.6057692307692307,0.025336781821278683,0.0013737054297219811,0.0,0.0013737054297219811,-0.0005493714933549421,0.32432432432432434,0.2972972972972973,4,0.038461538461538464,11,0.10576923076923077,0.5480769230769231
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,wait_light,,,,,118,78,118,0.16666666666666666,0.7435897435897436,0.1694915254237288,0.5677966101694916,0.022577363599898197,0.004480323774439769,0.0,0.004480323774439769,0.0036328661473211256,0.37777777777777777,0.3111111111111111,2,0.01694915254237288,13,0.11016949152542373,0.6694915254237288
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,None,,,,,23,0,23,0.0,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.5652173913043478
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,block_heavy,,,,,171,114,171,0.05263157894736842,0.7807017543859649,0.13450292397660818,0.7368421052631579,0.029220271427839315,9.298702582961394e-05,0.0,9.298702582961394e-05,0.00012183019829160223,0.1388888888888889,0.7083333333333334,3,0.017543859649122806,19,0.1111111111111111,0.4502923976608187
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,block_light,,,,,65,38,65,0.05263157894736842,0.5263157894736842,0.1076923076923077,0.4461538461538462,0.03888435451580308,0.000467961726042,0.0,0.000467961726042,0.000467961726042,0.0,0.7727272727272727,0,0.0,10,0.15384615384615385,0.5692307692307692
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,commit_heavy,,,,,167,129,167,0.3023255813953488,0.813953488372093,0.2934131736526946,0.718562874251497,0.039353581123654204,0.012214741637223938,0.0,0.012214741637223938,0.006825520080337713,0.2708333333333333,0.5625,2,0.011976047904191617,35,0.20958083832335328,0.5508982035928144
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,decay_090,,,,,45,28,45,0.03571428571428571,0.35714285714285715,0.044444444444444446,0.37777777777777777,0.03105914812348625,-0.0015215054002257998,0.0,-0.0015215054002257998,-0.0033925068364435785,0.05555555555555555,0.8333333333333334,2,0.044444444444444446,9,0.2,0.4
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,decay_095,,,,,69,31,69,0.0,0.4838709677419355,0.21739130434782608,0.3188405797101449,0.01819942475686203,-0.014637330164345076,0.0,-0.014637330164345076,-0.001593851903475507,0.1,0.7,1,0.014492753623188406,11,0.15942028985507245,0.5217391304347826
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,wait_heavy,,,,,104,65,104,0.0,0.5230769230769231,0.019230769230769232,0.5096153846153846,0.02396545198654517,0.001302727572147798,0.0,0.001302727572147798,0.0008219583413785673,0.1891891891891892,0.40540540540540543,1,0.009615384615384616,11,0.10576923076923077,0.5961538461538461
phase4f_repair5_expand5000_followup_ex5000_follow_pair_focal_m035_lh4,wait_light,,,,,118,78,118,0.1794871794871795,0.7307692307692307,0.1864406779661017,0.6610169491525424,0.022810415085847118,0.003823543474931525,0.0,0.003823543474931525,0.0033998146613722032,0.2222222222222222,0.5555555555555556,1,0.00847457627118644,15,0.1271186440677966,0.5847457627118644
phase4f_repair5_expand5000_followup_ex5000_follow_target_ce2_margin1_hm3,None,,,,,23,0,23,0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.5217391304347826
