sample_index,best_edge_residual_mae,baseline_edge_residual_mae,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
250,0.00604342287636,0.0198258314401,False,False,False,False,False
251,0.00636282229882,0.0198258314401,False,False,False,False,False
252,0.00616458601078,0.0198258314401,False,False,False,False,False
253,0.00624596378356,0.0198258314401,False,False,False,False,False
254,0.00635685409029,0.0198258314401,False,False,False,False,False
255,0.00611692943896,0.0198258314401,False,False,False,False,False
256,0.00619120248314,0.0198258314401,False,False,False,False,False
257,0.00653884445583,0.0198258314401,False,False,False,False,False
258,0.00605688797641,0.0198258314401,False,False,False,False,False
259,0.00618598628733,0.0198258314401,False,False,False,False,False
260,0.00626130077832,0.0198258314401,False,False,False,False,False
261,0.00620602528452,0.0198258314401,False,False,False,False,False
262,0.00639613404397,0.0198258314401,False,False,False,False,False
263,0.00650419971942,0.0198258314401,False,False,False,False,False
264,0.00636162326076,0.0198258314401,False,False,False,False,False
265,0.00622843512961,0.0198258314401,False,False,False,False,False
266,0.0060339978661,0.0198258314401,False,False,False,False,False
267,0.00642481016066,0.0198258314401,False,False,False,False,False
268,0.00651269988164,0.0198258314401,False,False,False,False,False
269,0.00639443776442,0.0198258314401,False,False,False,False,False
270,0.0061165393601,0.0198258314401,False,False,False,False,False
271,0.00594387966709,0.0198258314401,False,False,False,False,False
272,0.00652557257929,0.0198258314401,False,False,False,False,False
273,0.00609687191962,0.0198258314401,False,False,False,False,False
274,0.0061198209713,0.0198258314401,False,False,False,False,False
275,0.00616331475963,0.0198258314401,False,False,False,False,False
276,0.00611071086983,0.0198258314401,False,False,False,False,False
277,0.00622449133698,0.0198258314401,False,False,False,False,False
278,0.00602479593577,0.0198258314401,False,False,False,False,False
279,0.00619745104813,0.0198258314401,False,False,False,False,False
280,0.0059474059574,0.0198258314401,False,False,False,False,False
281,0.00632821465696,0.0198258314401,False,False,False,False,False
282,0.0062701366077,0.0198258314401,False,False,False,False,False
283,0.00618538833143,0.0198258314401,False,False,False,False,False
284,0.00654545392789,0.0198258314401,False,False,False,False,False
285,0.0062672871281,0.0198258314401,False,False,False,False,False
286,0.00603389033415,0.0198258314401,False,False,False,False,False
287,0.00648021332006,0.0198258314401,False,False,False,False,False
288,0.00634817470667,0.0198258314401,False,False,False,False,False
289,0.00603130922211,0.0198258314401,False,False,False,False,False
290,0.00617729970729,0.0198258314401,False,False,False,False,False
291,0.00628966002791,0.0198258314401,False,False,False,False,False
292,0.00599169062634,0.0198258314401,False,False,False,False,False
293,0.00628415507696,0.0198258314401,False,False,False,False,False
294,0.00642687151324,0.0198258314401,False,False,False,False,False
295,0.00610170456679,0.0198258314401,False,False,False,False,False
296,0.00639155996641,0.0198258314401,False,False,False,False,False
297,0.00642390342299,0.0198258314401,False,False,False,False,False
298,0.00622580487888,0.0198258314401,False,False,False,False,False
299,0.00645357190428,0.0198258314401,False,False,False,False,False
