candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,validation_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02436,stage1,,91,91,0,0,-1,91,-0.0185507216557,-0.0114232196698,59,23,39,63,1,True,True,True,False,insufficient_support,1.70325104947,1.25,1.18986622987,1.25,0.75,0.75,0.961544811045,0.59147005772,0.9175,1,0.980343083343,0.426284357431,0.26738465509,1.11369041671,1,10.4669472329,1,0,0,False,False,False,False,False
g554_c00983,stage1,,91,91,0,0,-1,91,-0.0178239606627,-0.0130782330288,67,16,41,60,1,True,True,True,False,insufficient_support,1.12105891582,1.25,1.27113572989,1.25,0.75,0.75,0.925315549316,0.598971617722,0.968488413089,1,0.949494043892,0.217293915412,0.374182332983,0.812673403924,0.971985491986,10.6911544402,1,0,0,False,False,False,False,False
g554_c01013,stage1,,91,91,0,0,-1,91,-0.0151492033738,-0.0108153030359,60,14,42,59,1,True,True,True,False,insufficient_support,1.0443680941,1.25,1.29613920239,1.25,0.75,0.75,0.979824061074,0.388969148344,0.928617782368,1,0.961393937119,0.380080339838,0.388862608863,0.798476954727,1,11.3586233211,1,0,0,False,False,False,False,False
g554_c02540,stage1,,91,91,0,0,-1,91,-0.0147370417951,-0.00990334841753,63,13,42,60,1,True,True,True,False,insufficient_support,1.54453766058,1.25,1.21592650227,1.25,0.75,0.75,0.94782999883,0.595192806443,0.9175,1,0.959290450402,0.65,0.376781607581,0.809037527788,1,11.5063788073,1,0,0,False,False,False,False,False
g554_c01023,stage1,,91,91,0,0,-1,91,-0.0135245335718,-0.00882881418518,56,16,42,57,1,True,True,True,False,insufficient_support,2.4079110813,1.25,1.21541634042,1.25,0.75,0.75,1.02991096741,0.466145787331,0.934300581176,1,0.86222434103,1,0.320944550945,0.772178459678,0.362527469996,10.5123003498,1,0,0,False,False,False,False,False
g554_c01024,stage1,,91,91,0,0,-1,91,-0.0130919609693,-0.00837014509703,56,25,42,57,1,True,True,True,False,insufficient_support,1.00732369418,1.25,1.21520787021,1.25,0.75,0.75,1.02651801802,0.0609177480499,0.9175,1,0.930088762517,0.2275,0.367939206739,0.784067070317,0.820703018012,10.688964393,1,0,0,False,False,False,False,False
g554_c02560,stage1,,91,91,0,0,-1,91,-0.0118858112081,-0.00735652927174,57,19,42,62,1,True,True,True,False,insufficient_support,0.188979595187,1.25,1.25,1.25,0.75,0.75,1,0.1225,0.95,1,1,0.0303113638773,0.369677588895,0.807718791437,1,11,1,0,0,False,False,False,False,False
g554_c02557,stage1,,91,91,0,0,-1,91,-0.0118542286862,-0.00800356955001,60,18,42,62,1,True,True,True,False,insufficient_support,0.850784260657,1.25,1.27273916774,1.25,0.75,0.75,1.03548034398,0.258130825631,0.966617571467,1,0.971142623143,0.323806017387,0.383490519091,0.787853242853,0.985992316993,10.5971668812,1,0,0,False,False,False,False,False
g554_c01116,stage1,,91,91,0,0,-1,91,-0.0115701399195,-0.00677278020851,59,20,40,64,1,True,True,True,False,insufficient_support,0.274897098539,1.25,1.25,1.25,0.75,0.75,1,0.2,0.95,1,1,0.0682435835128,0.382857274285,0.785412229176,1,11,1,0,0,False,False,False,False,False
g554_c01035,stage1,,91,91,0,0,-1,91,-0.0114667440429,-0.00685827435202,62,18,43,59,1,True,True,True,False,insufficient_support,1.56884249394,1.25,1.30881878632,1.25,0.75,0.75,0.92754943255,0.179959072395,0.9175,1,0.981795480688,0.65,0.379146725947,0.783115810616,0.711436743967,11.4212196482,1,0,0,False,False,False,False,False
g554_c00980,stage1,,91,91,0,0,-1,91,-0.0109741776501,-0.00627383298168,56,22,41,60,1,True,True,True,False,insufficient_support,0.908263377005,1.25,1.17330557956,1.25,0.75,0.75,1.12629420129,0,0.903152436902,1,0.969303069303,0,0.376338466338,0.79593970219,0.913724788725,11.3153227403,1,0,0,False,False,False,False,False
g554_c01034,stage1,,91,91,0,0,-1,91,-0.0103576852782,-0.00545646171079,55,23,43,59,1,True,True,True,False,insufficient_support,1.08097236053,1.25,1.29720753158,1.25,0.75,0.75,0.953525191025,0.288757938758,0.909204453579,1,1.00185600915,0.272302255395,0.381894531895,0.771010567886,0.954524117024,10.7097626473,1,0,0,False,False,False,False,False
g554_c02504,stage1,,91,91,0,0,-1,91,-0.0101180035431,-0.00548233232899,56,26,43,61,1,True,True,True,False,insufficient_support,1.48815368202,1.25,1.27331625769,1.25,0.75,0.75,0.9554001179,0.334836876735,0.982835951586,1,1.02064722065,0.957328085344,0.383855693856,0.80312030312,0.963935388935,10.7929181929,1,0,0,False,False,False,False,False
g554_c02515,stage1,,91,91,0,0,-1,91,-0.00998519118209,-0.00546867642277,53,22,43,57,1,True,True,True,False,insufficient_support,0.990468605863,1.25,1.18547235741,1.25,0.75,0.75,1.06524371124,0.276651261651,0.9825,1,0.988128106151,0.287637206975,0.370394212394,0.810876867127,1,11.2848215358,1,0,0,False,False,False,False,False
g554_c01046,stage1,,91,91,0,0,-1,91,-0.0096407154722,-0.00539258900021,53,23,43,63,1,True,True,True,False,insufficient_support,1.8584367846,1.25,0.770291852797,1.25,0.75,0.75,0.941951152451,0.614405346905,0.921518747319,1,0.983595391683,0.65,0.380056799657,0.787407813657,0.950942435943,10.692044187,1,0,0,False,False,False,False,False
g554_c02564,stage1,,91,91,0,0,-1,91,-0.00959055220462,-0.00497823519781,53,21,42,60,1,True,True,True,False,insufficient_support,1.1026104151,1.25,1.3661525224,1.25,0.75,0.75,0.881841919342,0.0630232192732,1,1,0.964842814843,0,0.378542988543,0.782427782428,0.940460890461,10.1826634327,1,0,0,False,False,False,False,False
g554_c00997,stage1,,91,91,0,0,-1,91,-0.0092102780344,-0.00447295635796,52,22,41,62,1,True,True,True,False,insufficient_support,1.0659502881,1.25,1.25,1.25,0.75,0.75,1,0.563741922516,0.95,1,0.917418445163,0.798562792872,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01015,stage1,,91,91,0,0,-1,91,-0.00910796341484,-0.00468965383607,53,27,42,57,1,True,True,True,False,insufficient_support,0.916192086543,1.25,1.1945041504,1.25,0.75,0.75,1.07400602551,0.19901963652,0.9175,1,0.997713045823,0.198537283175,0.317276159276,0.806548301548,0.954940485941,11.2294976405,1,0,0,False,False,False,False,False
