comparator,target_rule,map_name,agents,opportunity_bucket,decision_target,sample_count,use_nonadditive_target_count,matched_oracle_count,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,utility_regret_to_oracle,selected_delta,additive_delta,selected_vs_additive_delta,selected_vs_additive_utility,high_margin_nonadditive_capture,avoidable_additive_or_defer,harmful_false_negative_selected_count,harmful_false_negative_selected_rate,harmful_false_positive_proxy_count,harmful_false_positive_proxy_rate,decision_accuracy
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,empty-48-48,100,,,100,57,100,0.45614035087719296,0.8421052631578947,0.36,0.73,0.0071911128983497595,0.008773913894268138,0.0,0.008773913894268138,0.008273913894268138,0.7857142857142857,0.14285714285714285,1,0.01,0,0.0,0.64
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,empty-48-48,200,,,100,47,100,0.19148936170212766,0.7872340425531915,0.14,0.64,0.009036689203680318,0.0022167251182018902,0.0,0.0022167251182018902,0.0022167251182018902,0.5714285714285714,0.2857142857142857,0,0.0,0,0.0,0.58
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,empty-48-48,400,,,100,59,100,0.4576271186440678,0.847457627118644,0.33,0.76,0.0070362635560750906,0.007569021246130918,0.0,0.007569021246130918,0.007069021246130918,0.8823529411764706,0.0,1,0.01,0,0.0,0.67
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,maze-32-32-4,50,,,100,76,100,0.13157894736842105,0.5921052631578947,0.15,0.55,0.025899447500716696,0.00085558195328001,0.0,0.00085558195328001,-0.003418662783292989,0.3333333333333333,0.4166666666666667,9,0.09,13,0.13,0.54
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,maze-32-32-4,100,,,100,70,100,0.07142857142857142,0.5857142857142857,0.13,0.49,0.02838725410478179,-0.020713249736866987,0.0,-0.020713249736866987,-0.0015701419510820009,0.18518518518518517,0.5,6,0.06,18,0.18,0.49
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,maze-32-32-4,200,,,100,82,100,0.0,0.3902439024390244,0.08,0.37,0.07591865724601898,0.0,0.0,0.0,0.0,0.0,0.7468354430379747,0,0.0,62,0.62,0.33
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,maze-32-32-4,400,,,62,43,62,0.0,0.6046511627906976,0.0967741935483871,0.41935483870967744,0.08620709871239578,0.0,0.0,0.0,0.0,0.0,0.7209302325581395,0,0.0,30,0.4838709677419355,0.3064516129032258
phase4f_repair5_expand5000_ex5000_mlp_target_global,,empty-48-48,50,,,100,49,100,0.3673469387755102,0.8775510204081632,0.32,0.66,0.009563563168142247,0.00593566563563883,0.0,0.00593566563563883,0.00443566563563883,0.7407407407407407,0.2222222222222222,3,0.03,0,0.0,0.6
phase4f_repair5_expand5000_ex5000_mlp_target_global,,empty-48-48,100,,,100,57,100,0.38596491228070173,0.8421052631578947,0.31,0.72,0.008285756903439988,0.00767926988917791,0.0,0.00767926988917791,0.00717926988917791,0.6785714285714286,0.21428571428571427,1,0.01,0,0.0,0.68
phase4f_repair5_expand5000_ex5000_mlp_target_global,,empty-48-48,200,,,100,47,100,0.2765957446808511,0.7872340425531915,0.18,0.58,0.00837357043370784,0.00287984388817437,0.0,0.00287984388817437,0.00287984388817437,0.5714285714285714,0.2857142857142857,0,0.0,0,0.0,0.68
phase4f_repair5_expand5000_ex5000_mlp_target_global,,empty-48-48,400,,,100,59,100,0.3898305084745763,0.6440677966101694,0.29,0.5,0.008161208723497019,0.006444076078708988,0.0,0.006444076078708988,0.005944076078708988,0.8235294117647058,0.058823529411764705,1,0.01,0,0.0,0.68
phase4f_repair5_expand5000_ex5000_mlp_target_global,,maze-32-32-4,50,,,100,76,100,0.15789473684210525,0.5,0.17,0.46,0.02155895991194209,0.003946883874302619,0.0,0.003946883874302619,0.0009218248054816196,0.5416666666666666,0.20833333333333334,7,0.07,6,0.06,0.6
phase4f_repair5_expand5000_ex5000_mlp_target_global,,maze-32-32-4,100,,,100,70,100,0.18571428571428572,0.5428571428571428,0.19,0.46,0.02979189831994872,-0.01941920369409491,0.0,-0.01941920369409491,-0.002974786166248931,0.5,0.12962962962962962,15,0.15,1,0.01,0.64
phase4f_repair5_expand5000_ex5000_mlp_target_global,,maze-32-32-4,200,,,100,82,100,0.024390243902439025,0.6707317073170732,0.09,0.59,0.07919043893194697,-0.006011510154422001,0.0,-0.006011510154422001,-0.0032717816859280002,0.02531645569620253,0.6708860759493671,5,0.05,55,0.55,0.39
