candidate_id,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,search_stage,stage_code,source_candidate_id,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,method,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count
repair5g539_s2_081,24,0,1,6,17,0.00637483569671,0,0.00637483569671,0.00637483569671,-0.00590115804817,0,14,3,1,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.1,1.25,1.0,0.65,0.95,0.98,0.3,0.75,False,flow_shield,repair5g518_grid_c1p1_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,24,0,0,6,18,0.000988317712778,0,0.000988317712778,0.000988317712778,0.000741238284583,1,16,1,1,1
repair5g539_s1_065,24,0,1,6,17,0.00640656831153,0,0.00640656831153,0.00640656831153,-0.00587868077933,1,14,2,2,1,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.65,1.0,0.98,0.45,1.25,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p65_dc1p00_df0p98_beta0p45_max1p25_c0,24,0,0,6,18,0.00101828740456,0,0.00101828740456,0.00101828740456,0.000763715553417,2,14,2,2,1
repair5g539_s2_107,24,0,1,6,17,0.00641359231471,0,0.00641359231471,0.00641359231471,-0.00587370544375,1,13,3,2,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.1,1.0,1.0,0.25,0.95,0.95,0.35,1.0,False,flow_shield,repair5g518_grid_c1p1_b1p00_f1p00_w0p25_dc0p95_df0p95_beta0p35_max1p00_c0,24,0,0,6,18,0.00102492118533,0,0.00102492118533,0.00102492118533,0.000768690889,2,14,2,2,0
repair5g539_s1_068,24,0,1,6,17,0.00655385072694,0,0.00655385072694,0.00655385072694,-0.00577435573508,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.1,1.25,0.75,0.35,1.0,0.95,0.6,1.0,False,flow_shield,repair5g518_grid_c1p1_b1p25_f0p75_w0p35_dc1p00_df0p95_beta0p6_max1p00_c0,24,0,0,6,18,0.00115738746356,0,0.00115738746356,0.00115738746356,0.000868040597667,2,14,2,2,0
repair5g539_s2_084,24,0,1,6,17,0.00662654928565,0,0.00662654928565,0.00662654928565,-0.00572286092267,0,14,3,1,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.25,1.25,1.0,0.5,0.95,0.95,0.2,1.0,False,flow_shield,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p95_df0p95_beta0p2_max1p00_c0,24,0,0,6,18,0.00122604721344,0,0.00122604721344,0.00122604721344,0.000919535410083,1,15,2,1,0
repair5g539_s1_023,24,0,1,6,17,0.00679227674106,0,0.00679227674106,0.00679227674106,-0.00560547064175,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.25,1.25,1.0,0.35,1.0,0.9,0.45,1.0,False,flow_shield,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc1p00_df0p9_beta0p45_max1p00_c0,24,0,0,6,18,0.001382567588,0,0.001382567588,0.001382567588,0.001036925691,2,14,2,2,0
repair5g539_s1_033,24,0,1,6,17,0.00679648805959,0,0.00679648805959,0.00679648805959,-0.00560248762446,0,14,3,1,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.35,0.95,0.98,0.6,1.0,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p35_dc0p95_df0p98_beta0p6_max1p00_c0,24,0,0,6,18,0.00138654494439,0,0.00138654494439,0.00138654494439,0.00103990870829,1,15,2,1,0
repair5g539_s1_039,24,0,1,6,17,0.00683235741488,0,0.00683235741488,0.00683235741488,-0.00557708016446,0,14,3,1,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.25,1.25,1.0,0.5,0.95,0.9,0.2,0.5,False,flow_shield,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p95_df0p9_beta0p2_max0p5_c0,24,0,0,6,18,0.00142042155772,0,0.00142042155772,0.00142042155772,0.00106531616829,1,16,1,1,0
repair5g539_s1_050,24,0,1,6,17,0.00689046127835,0,0.00689046127835,0.00689046127835,-0.00553592326117,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.4,1.25,1.25,0.65,1.0,1.0,0.15,1.25,False,flow_shield,repair5g518_grid_c1p4_b1p25_f1p25_w0p65_dc1p00_df1p00_beta0p15_max1p25_c0,24,0,0,6,18,0.00147529742878,0,0.00147529742878,0.00147529742878,0.00110647307158,2,14,2,2,0
repair5g539_s3_120,24,0,1,6,17,0.00695876781129,0,0.00695876781129,0.00695876781129,-0.005487539467,1,13,3,2,0,False,False,False,False,False,Stage 3 safety-boundary stress,s3,,1.25,1.25,1.0,0.5,0.95,0.98,0.25,0.75,False,flow_shield,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p95_df0p98_beta0p25_max0p75_c0,24,0,0,6,18,0.00153980915433,0,0.00153980915433,0.00153980915433,0.00115485686575,2,15,1,2,0
