row_type,g567_evaluation_uid,context_id,map,map_family,agents,target_candidate_count,mean_L1_target_distance_to_g556,mean_L1_target_distance_to_static_flow,mean_L1_actor_prediction_distance_to_g556,mean_L1_actor_prediction_distance_to_static_flow
label_train_target_set,ba59c8870f13bcd2e3aead8834703aa1b106b17cca8b0a06f55c4bf90666d652,g567_gate3b_label_train_01683,g567-room-64x48-b-v3,room,192,1.0,0.0015034675598144531,0.09059537390867871,,
label_train_target_set,ba63a90bcff3f2522e8c3cc90905ac180304e06b9cbf083dcfd482d1572ed6d0,g567_gate3b_label_train_00406,warehouse_10_20_10_2_2,warehouse,192,1.0,0.0017376528845893132,0.09183187093999655,,
label_train_target_set,ba993d5e9988b398f8e1e57f7519a1cd3d13187f4d2afe35119b66e666ceeb58,g567_gate3b_label_train_00124,den312d,game,24,2.0,0.006177326634762806,0.09248557706200897,,
label_train_target_set,bae1792a9072beed2341cb1e5d4acceeb868d295e46aeb54a79315f716dd2652,g567_gate3b_calibration_00469,g567-connector-48x48-a-v3,connector,256,1.0,0.02813429311627433,0.11451024031355271,,
label_train_target_set,bae3631a8bf8e59489e25cfc66788c7f3a4d1d70a0adc7e3d4ffa5217dc34e63,g567_gate3b_label_train_00463,room_64_64_8,room,32,2.0,0.003261270672082913,0.09027059569954876,,
label_train_target_set,baedab33a5f08f87b95e8d58b63a2bc08887083dd0d48d724e6f40c19b7bb9ce,g567_gate3b_label_train_01971,g567-large-maze-128x128-a-v3,large_maze,3000,1.0,0.0676412427188858,0.0228851763833137,,
label_train_target_set,bb43323aad0c60ccd46b0f9df44edf57bf4f26148dfc9021ec9cc9105e01a6fa,g567_gate3b_label_train_01886,g567-room-24x24-a-v0,room,80,1.0,0.005509050389130917,0.08951578448216124,,
label_train_target_set,bb4ca81d26d7cf16691a769f0854c9e02a7fe2f016c7e02533259d60d46841bc,g567_gate3b_label_train_01563,g567-random-16x16-a-v2,random,8,11.0,0.005663638694203779,0.08675815605282959,,
label_train_target_set,bb4e3e398598af3f4d95e147565650798c177d30d8803988fffb50195b32af6e,g567_gate3b_calibration_00299,maze_128_128_1,maze,16,1.0,0.06751057479116658,0.022965152859687765,,
label_train_target_set,bb824755607a047384d1d16ea2e6263358b25822d7d8a463b3af65d83cc8455c,g567_gate3b_label_train_01063,g567-large-empty-128x128-a-v0,large_empty,3000,1.0,0.06766292109375915,0.022869515759604275,,
label_train_target_set,bb8d8065bd38fbcd606dd0c744b2a9c83bb2b1a3a75a8befb9b19c98e38c6e10,g567_gate3b_label_train_01589,sortation_medium,public_other,384,1.0,0.022533121425954133,0.06873515498543546,,
label_train_target_set,bb95e9456560ea9404adf402c352ebdeeae66671a5a65d8648722bf82abad07f,g567_gate3b_label_train_01558,g567-large-maze-192x128-a-v3,large_maze,3000,21.0,0.010959681200873012,0.08576028670042823,,
label_train_target_set,bbbb4dcd0150d1f1c5fabd17dace2f746c8eb00d58e9647f32bc71960afb3419,g567_gate3b_label_train_00768,sortation_small,public_other,256,1.0,0.0036576064049252417,0.09084295408120241,,
label_train_target_set,bbc19c055e9a7531731e5bfd83a2fbf266057a5dd5047746814741d4ef2c7452,g567_gate3b_label_train_00974,g567-large-empty-128x128-a-v3,large_empty,2500,1.0,0.001195391019185322,0.09128960907459255,,
label_train_target_set,bbe4518714ffee18a6eb387abb171e2774c907de41057191fd61fbeb480cada5,g567_gate3b_calibration_00478,g567-corners-48x48-a-v2,irregular_bottleneck,256,1.0,0.0018295580148696676,0.08948435862859097,,
label_train_target_set,bc1fecc269545b9856b3dec1a063d20713993388a5e8bc9b8acce7cab6af6c67,g567_gate3b_label_train_01525,g567-large-maze-192x128-a-v3,large_maze,2500,21.0,0.010960059692394714,0.08576063516886959,,
label_train_target_set,bc49afa1c8d6683529f8ca97ac397a2b78eb2b64295f19e5d26cd6fe38d6c586,g567_gate3b_label_train_01622,warehouse_10_20_10_2_1,warehouse,48,1.0,0.04509170658058588,0.045851571692360836,,
label_train_target_set,bc9c6bc2269f3f8a69d65215480aa566042647b43aa3d6075f12ade975a16deb,g567_gate3b_label_train_01362,maze_128_128_2,maze,64,1.0,0.0008834676893930587,0.09038870920264534,,
label_train_target_set,bcb58508b22828546c90861ec14cd88ef37137689f86b9203abd58922dc494c5,g567_gate3b_label_train_01079,g567-room-48x48-a-v3,room,24,1.0,0.00184708050792171,0.09047069203758992,,
label_train_target_set,bd17d81d1f5a86b37c969387457cf843f22f8973d24ddb85ca8be873ed106c7f,g567_gate3b_label_train_01519,g567-large-maze-192x128-a-v0,large_maze,2500,1.0,0.06764234570283735,0.02288212028760768,,
label_train_target_set,bd2dd6b5c9cfd2165a0fd025ce4332259f904e9fa25a144dc36db7f9c3b9fa3e,g567_gate3b_calibration_00181,empty_32_32,empty,24,4.0,0.007342230257770388,0.0914438743664632,,
label_train_target_set,bd3b1ffd127b68daa400a5f1313cd49a7a92f0c79060fd9f8c4ed0f35869399e,g567_gate3b_label_train_00576,maze_32_32_2,maze,12,13.0,0.008536702574973316,0.08922458727863394,,
label_train_target_set,bd43e726b41f96fe5fcd12a175cb34db98cf50ffb7c12beee67c98829a3f0f6c,g567_gate3b_label_train_00655,g567-large-room-128x128-a-v2,large_room,3000,1.0,0.003630742132663734,0.08888968239227935,,
label_train_target_set,bd4ac011d763140923130a41a328eed23eb2ed99f659f5300e37798888d3e1a3,g567_gate3b_calibration_00420,g567-large-lanes-192x128-a-v2,large_lanes,2500,1.0,0.028730391538332303,0.11485498197494988,,
label_train_target_set,bd59482d26d6804d9589d853a1ea62f057ba9af1f161a3d6c1f2e525b64fda9c,g567_gate3b_label_train_01829,room_32_32_4,room,24,1.0,0.0018242912491162689,0.08948612223068877,,
label_train_target_set,bd6c2353624a8cb72381a68ed9cdcd1d6537f49f0c583b92f9bbe7e418282650,g567_gate3b_label_train_01402,maze_128_128_2,maze,192,1.0,0.045173162387476956,0.0457971649368605,,
label_train_target_set,bd6e5e67a5cb1fc5659f51f3a1370856e7f4eb6ad5be1195e185d0989e66d580,g567_gate3b_calibration_00385,g567-large-lanes-192x128-a-v3,large_lanes,2500,1.0,0.0012021541595459103,0.09129637221495314,,
label_train_target_set,bdb461ed37105fc0034703e259276af610ba356eec58c3d86f8b274a19872429,g567_gate3b_calibration_00279,warehouse_small,warehouse,80,2.0,0.007355495511539462,0.09163224818214549,,
label_train_target_set,bdbecebd820171922b521e5df7124166e5e2ab1b1a4ba289766a0382fbb5b63f,g567_gate3b_label_train_00197,random_32_32_10,random,8,21.0,0.010900960789876554,0.08568117263275662,,
label_train_target_set,bdf806d6fdb6e34fd41592301c5a3d36c5ea5b582cb53da299af8ea2052aa847,g567_gate3b_label_train_01389,maze_128_128_2,maze,192,1.0,0.045155840241719765,0.045770902624205995,,
label_train_target_set,be20e5f607066611aceb3c6f19c0f8988dd61ed9787b26f7a1ed8e1a89595f73,g567_gate3b_label_train_01213,room_64_64_16,room,12,3.0,0.00573685647633974,0.09129975062198747,,
label_train_target_set,be3070cb75d40b98295771ceaf8ee80fc74c7f28440119de183c9711a46394a9,g567_gate3b_label_train_01012,g567-large-empty-128x128-a-v1,large_empty,3000,1.0,0.06766505150567918,0.022870277251516097,,
label_train_target_set,be3871cc988da9741e068f88b286e5dd6d29e3e1485574e3a86ff167ca554c96,g567_gate3b_label_train_00770,g567-large-empty-128x128-a-v3,large_empty,16,19.0,0.006229471496571698,0.09119035189811056,,
label_train_target_set,be3b446396e06d2b3ad3a8ac467487bacd4e0c3703e5296ff9afc203ffff7e47,g567_gate3b_label_train_00567,maze_32_32_2,maze,12,17.0,0.008593254160313401,0.08841048517341824,,
label_train_target_set,be62837b358adf4290670b752c170e1b752a561c24c088c46b69ba384db61919,g567_gate3b_label_train_00968,g567-large-empty-128x128-a-v0,large_empty,2500,1.0,0.001940157016118409,0.08944749772548675,,
label_train_target_set,be8f45d9c046f54472d25b9a0d695bc63d62e7c8e18250585daf569b0f7e1b26,g567_gate3b_label_train_00477,room_64_64_8,room,48,1.0,0.02809039679311571,0.11448224551620943,,
label_train_target_set,be98255c1138c1ef1e2a97c749e50b9c9405a1b4add95106a08d72f318b3fd17,g567_gate3b_calibration_00004,ht_chantry,game,12,1.0,0.005356122553348553,0.0894648044308027,,
