candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,whitelist_rule_id,rule_condition,whitelist_reason
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0057,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_block_heavy_flow_guard,block_heavy,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False,g536_whitelist_0058,candidate_id=repair5g59_block_heavy_flow_guard;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_block_heavy_flow_guard,block_heavy,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False,g536_whitelist_0059,candidate_id=repair5g59_block_heavy_flow_guard;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_block_heavy_flow_guard,block_heavy,random,500,44,0,0,1,40,0,3,0,0,False,False,False,False,False,g536_whitelist_0060,candidate_id=repair5g59_block_heavy_flow_guard;map_family=random;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_block_heavy_flow_guard,block_heavy,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False,g536_whitelist_0061,candidate_id=repair5g59_block_heavy_flow_guard;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_block_heavy_flow_guard,block_heavy,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0062,candidate_id=repair5g59_block_heavy_flow_guard;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_c_only_f_disabled,c_only,maze,1000,46,0,0,0,45,0,1,0,0,False,False,False,False,False,g536_whitelist_0063,candidate_id=repair5g59_c_only_f_disabled;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_c_only_f_disabled,c_only,maze,2000,44,0,5,6,33,3,2,0,0,False,False,False,False,False,g536_whitelist_0064,candidate_id=repair5g59_c_only_f_disabled;map_family=maze;budget_ms=2000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_c_only_f_disabled,c_only,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False,g536_whitelist_0065,candidate_id=repair5g59_c_only_f_disabled;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_c_only_f_disabled,c_only,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False,g536_whitelist_0066,candidate_id=repair5g59_c_only_f_disabled;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_c_only_f_disabled,c_only,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0067,candidate_id=repair5g59_c_only_f_disabled;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
