row_type,policy,model,eval_scope,fold_id,context_budget_pairs,selected_policy_utility,safe_policy_sim_utility,candidate_induced_no_solution_count,budget_sensitive_failure_count,safe_positive_selected_count,static_recovery_capture_count,fallback_rate,top1_safe_oracle_capture_rate,top3_safe_oracle_capture_rate,top5_safe_oracle_capture_rate,region_top1_capture_rate,region_top2_capture_rate,action_class_accuracy,selected_candidate_match_rate,region_match_rate,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_045,120,0.039540808434,0.039540808434,8,4,9,0,0.0,0.0,0.133333333333,0.175,0.0,0.325,0.425,0.091666666667,0.091666666667,0.512188078512,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_046,120,0.037371481366,0.037371481366,9,3,7,0,0.0,0.0,0.116666666667,0.158333333333,0.0,0.358333333333,0.441666666667,0.041666666667,0.066666666667,0.501674575249,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_047,120,0.036870807965,0.036870807965,9,5,8,0,0.0,0.0,0.075,0.166666666667,0.0,0.383333333333,0.425,0.058333333333,0.075,0.502974257953,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_048,120,0.048355313035,0.048355313035,13,5,4,0,0.0,0.0,0.058333333333,0.133333333333,0.0,0.308333333333,0.4,0.091666666667,0.1,0.469969298587,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_049,120,0.036290242243,0.036290242243,8,5,3,0,0.0,0.0,0.091666666667,0.133333333333,0.0,0.4,0.366666666667,0.075,0.091666666667,0.511001826452,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_050,120,0.038535489441,0.038535489441,4,2,9,0,0.0,0.0,0.091666666667,0.175,0.0,0.4,0.366666666667,0.041666666667,0.066666666667,0.543677514105,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_051,120,0.033207530021,0.033207530021,14,4,7,0,0.0,0.0,0.116666666667,0.166666666667,0.0,0.291666666667,0.458333333333,0.066666666667,0.1,0.459395785091,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_052,120,0.030594548432,0.030594548432,6,4,8,0,0.0,0.0,0.125,0.191666666667,0.0,0.375,0.441666666667,0.116666666667,0.125,0.528092882799,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_053,120,0.040871746325,0.040871746325,5,6,7,0,0.0,0.0,0.108333333333,0.15,0.0,0.366666666667,0.391666666667,0.075,0.075,0.537375666761,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_054,120,0.038127097691,0.038127097691,11,6,4,0,0.0,0.0,0.05,0.075,0.0,0.325,0.383333333333,0.1,0.108333333333,0.48653340834,False,False,False,False,False
