map,agents,seed,scen,oracle_source_method,lacam_star_ltm_success,oracle_success,lacam_star_ltm_ratio,oracle_ratio,oracle_delta_ratio_vs_ltm
warehouse-10-20-10-2-1,100,30,warehouse-10-20-10-2-1-random-30.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.25521038144,1.25521038144,0.0
warehouse-10-20-10-2-1,100,31,warehouse-10-20-10-2-1-random-31.scen,repair5g_dual_c_only_locked_f4,True,True,1.20002591009,1.20002591009,0.0
warehouse-10-20-10-2-1,100,32,warehouse-10-20-10-2-1-random-32.scen,repair5g_dual_goal_gated_wait_025,True,True,1.16523279352,1.16523279352,0.0
warehouse-10-20-10-2-1,100,33,warehouse-10-20-10-2-1-random-33.scen,repair5g_dual_balanced_decay,True,True,1.12466124661,1.12466124661,0.0
warehouse-10-20-10-2-1,100,34,warehouse-10-20-10-2-1-random-34.scen,repair5g_dual_flow_only_050,True,True,1.17056156261,1.17056156261,0.0
warehouse-10-20-10-2-1,100,35,warehouse-10-20-10-2-1-random-35.scen,repair5g_dual_goal_gated_wait_025,True,True,1.15807228916,1.15807228916,0.0
warehouse-10-20-10-2-1,100,36,warehouse-10-20-10-2-1-random-36.scen,repair5g_dual_goal_gated_wait_025,True,True,1.14618249534,1.14618249534,0.0
warehouse-10-20-10-2-1,100,37,warehouse-10-20-10-2-1-random-37.scen,repair5g_dual_flow_only_025,True,True,1.14158653846,1.14158653846,0.0
warehouse-10-20-10-2-1,100,38,warehouse-10-20-10-2-1-random-38.scen,repair5g_dual_block_wait_cong_flow025,True,True,1.16456161864,1.16456161864,0.0
warehouse-10-20-10-2-1,100,39,warehouse-10-20-10-2-1-random-39.scen,repair5g_dual_goal_gated_wait_025,True,True,1.14967557462,1.14967557462,0.0
warehouse-10-20-10-2-1,100,40,warehouse-10-20-10-2-1-random-40.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.23353365385,1.23353365385,0.0
warehouse-10-20-10-2-1,100,41,warehouse-10-20-10-2-1-random-41.scen,repair5g_dual_block_wait_cong_flow025,True,True,1.15914713158,1.15914713158,0.0
warehouse-10-20-10-2-1,100,42,warehouse-10-20-10-2-1-random-42.scen,repair5g_dual_block_wait_cong_flow050,True,True,1.18760426023,1.18760426023,0.0
warehouse-10-20-10-2-1,100,43,warehouse-10-20-10-2-1-random-43.scen,repair5g_dual_flow_only_050,True,True,1.14853435291,1.14853435291,0.0
warehouse-10-20-10-2-1,100,44,warehouse-10-20-10-2-1-random-44.scen,repair5g_dual_goal_gated_wait_025,True,True,1.18992678056,1.18992678056,0.0
warehouse-10-20-10-2-1,100,45,warehouse-10-20-10-2-1-random-45.scen,repair5g_dual_flow_only_050,True,True,1.18089917531,1.18089917531,0.0
