candidate_id,generated_theta_uid,registry_role,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,replay_phase,method,variant_id,actor_training_seed
g562_g565_fresh_solver_panel_e1_s565_60d6abf5ad0e,a33438fa1dba37fbe534c2a8ec66aecf7e4458d62633a46820a6c1d22ecd1a46,g562_actor_generated_theta,1.239943504333496,1.1782848834991455,1.2621386051177979,0.7401535511016846,0.7519510388374329,1.036953330039978,0.6984157562255859,0.9807091355323792,1.0,0.6752724647521973,0.6526283621788025,0.3407191038131714,0.894877552986145,1.0,10.823960304260254,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_2030cea5f6b9,c08d718d982e674c8e856eda2d915572ffa22137591a11134cba8f61a5551d80,g562_actor_generated_theta,1.2409775257110596,1.1771100759506226,1.2579509019851685,0.7433821558952332,0.7523219585418701,1.0357474088668823,0.6986348032951355,0.9804956912994385,1.0,0.6788749098777771,0.6559998989105225,0.3390183448791504,0.8749942779541016,1.0,10.817865371704102,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_51079e00595e,58f4666c226c62fc1a3769a2b66f5be95dbe3c163129ede168f047bb579cd286,g562_actor_generated_theta,1.2413989305496216,1.17766535282135,1.2587991952896118,0.744057297706604,0.7518422603607178,1.0339007377624512,0.6992968916893005,0.9804781079292297,1.0,0.6804805397987366,0.6564961671829224,0.33837518095970154,0.8708910346031189,1.0,10.81677532196045,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_bdf3d72d0bd0,d5ad410a415dc7aeb762c25098effb52263ffbae6e7d563523a14ad2e8c0d5e6,g562_actor_generated_theta,1.2438780069351196,1.154462218284607,1.3088405132293701,0.7453961372375488,0.7547773718833923,1.0193986892700195,0.7034658789634705,0.9809921979904175,1.0,0.6771813035011292,0.6342366337776184,0.3437248468399048,0.9247046113014221,1.0,10.830787658691406,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_4385a4714432,81a5be2cfc3ee31a89b7c865c22139b220276c4889d432c13c0fe5a277a77f4f,g562_actor_generated_theta,1.2412302494049072,1.176761507987976,1.2583675384521484,0.7439296245574951,0.7521375417709351,1.0348694324493408,0.6992219686508179,0.9804897308349609,1.0,0.6797946095466614,0.6560916304588318,0.3387928307056427,0.8728079795837402,1.0,10.81688404083252,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_e238bb5e55b7,dd3c4e9e478a7bfec0317e59584de76cc724b1f61f99800a5cc1009a10086062,g562_actor_generated_theta,1.2411108016967773,1.1775481700897217,1.259162425994873,0.7432454228401184,0.7519473433494568,1.034972906112671,0.699069619178772,0.9805269241333008,1.0,0.6791776418685913,0.6557437181472778,0.33887779712677,0.8757190108299255,1.0,10.818110466003418,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_7a73442118b7,503bf8c2a943f8d8831fd604ed79cd12f47469cbed727d02a8601b36887e823f,g562_actor_generated_theta,1.2412422895431519,1.175905704498291,1.2576133012771606,0.7440972328186035,0.7524983286857605,1.0358290672302246,0.698836624622345,0.9804762005805969,1.0,0.6792045831680298,0.6562771201133728,0.33897626399993896,0.8730298280715942,1.0,10.816797256469727,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_cbdf0f81c1f4,19711b246a1512524da84ae1479818a0c322207c35f3c6eaf985a7cbbbee0785,g562_actor_generated_theta,1.244025468826294,1.1537699699401855,1.3083447217941284,0.7461504340171814,0.7550060749053955,1.019046425819397,0.7041996121406555,0.980972945690155,1.0,0.6778444051742554,0.634675920009613,0.3435908854007721,0.921158492565155,1.0,10.830265998840332,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_4937a01ff76a,368dbb94357e4b73b2088a4ede4c12777793b10e5027b6496cab9b49ffb67550,g562_actor_generated_theta,1.2398239374160767,1.177335500717163,1.2607455253601074,0.7404457330703735,0.7524368166923523,1.0379602909088135,0.6980658173561096,0.9806731939315796,1.0,0.6748408079147339,0.6528961658477783,0.3410641551017761,0.893994927406311,1.0,10.823740005493164,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_1e08bce7ec62,fd0512030feac3930d8a0a2966e9c6e549ac7bb71f3a4764f061a551f9ca83f2,g562_actor_generated_theta,1.2430707216262817,1.1562824249267578,1.3076857328414917,0.742841362953186,0.75431227684021,1.0241634845733643,0.7008909583091736,0.9810057282447815,1.0,0.6735817193984985,0.632538378238678,0.3453207015991211,0.9385144710540771,1.0,10.833091735839844,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_d330a664749e,a162d198fc329923bc49a0e475fa93a16e403c7c4f0f9893137049af13e44f89,g562_actor_generated_theta,1.2401498556137085,1.1793421506881714,1.2628728151321411,0.7404595613479614,0.7515895366668701,1.0356022119522095,0.6988455653190613,0.9807101488113403,1.0,0.6765047907829285,0.6529092192649841,0.34022173285484314,0.8921689987182617,1.0,10.823427200317383,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
