candidate_id,candidate_family,candidate_context_rows,safe_materialized_rows,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,bootstrap_ci_upper,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,support_topologies,support_contexts,candidate_recognized_all,fingerprint_match_all,cost_finite_all,theta_in_bounds_all,safe_label_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_gcst_00422,,12000,11958,42,115,6124,0.00681218599197,0.00886999993072,1432,3592,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00270,,12000,11958,42,132,6124,0.00954970921469,0.0166397696013,2330,2641,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00334,,12000,11958,42,120,6124,0.0125432619159,0.0146439356673,2429,2792,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00347,,12000,11957,43,134,6123,-0.00236783275607,-0.000732190535554,2133,1966,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00474,,12000,11957,43,129,6123,-0.00225799704967,-0.000424685860525,2285,2142,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00156,,12000,11957,43,118,6123,-0.00208833111697,-5.09555316111e-05,1963,2397,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00111,,12000,11957,43,122,6123,-0.0010681187817,0.00078873275004,1725,1758,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00491,,12000,11957,43,130,6123,-0.000833334070812,0.00116831211688,1655,1713,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00210,,12000,11957,43,127,6123,-0.000551278592812,0.00136990143011,1974,2172,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00296,,12000,11957,43,120,6123,9.91353424788e-07,0.00189493493095,2378,2089,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00062,,12000,11957,43,116,6123,0.00039093121659,0.00233555645659,1949,2538,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00048,,12000,11957,43,126,6123,0.000565371798177,0.00258353262873,2254,2297,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00103,,12000,11957,43,120,6123,0.000930372654065,0.0029882952036,2328,2329,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00306,,12000,11957,43,123,6123,0.000935160014712,0.00359025256675,2258,2311,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00182,,12000,11957,43,123,6123,0.00199521883849,0.00398662114854,2545,2189,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00080,,12000,11957,43,116,6123,0.00215804330892,0.00413837956198,2383,2389,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00255,,12000,11957,43,130,6123,0.00255214293506,0.00446075269842,2637,2216,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00213,,12000,11957,43,122,6123,0.00534871911432,0.00740463603337,2573,2468,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00292,,12000,11957,43,121,6123,0.00676905561561,0.00898186870007,2090,2833,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00436,,12000,11957,43,127,6123,0.010794478804,0.013839862726,2486,2627,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00344,,12000,11957,43,124,6123,0.0135624274576,0.0161219081611,2024,3028,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00237,,12000,11956,44,127,6122,-0.00217331219554,-0.000329323851848,1831,2642,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00147,,12000,11956,44,119,6122,-0.00194763799152,-5.27724659781e-05,2176,1979,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00434,,12000,11956,44,124,6122,-0.00137231586633,0.000308289168998,2494,2072,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00137,,12000,11956,44,122,6122,-0.00126437742874,0.000595971514742,1981,2093,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00471,,12000,11956,44,120,6122,-0.00116239235631,0.000596618175428,1751,1754,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00331,,12000,11956,44,119,6122,-0.00115308070851,0.000403388422279,1617,1498,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00353,,12000,11956,44,122,6122,-0.00104059612911,0.000618486996028,2608,1994,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00351,,12000,11956,44,119,6122,-0.000984968295771,0.000844498910307,1754,1737,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00051,,12000,11956,44,127,6122,-0.000292377943277,0.00163386511289,1732,1744,33,12000,True,True,True,True,False,False,False,False,False,False
