group_type,group_value,target_rule,predicted_rule,target_family,predicted_family,correct_rule,correct_family,count
all,all,block_heavy,decay_090,block,decay,0,0,2
all,all,neutral_additive,decay_090,additive_or_neutral,decay,0,0,2
all,all,neutral_additive,wait_heavy,additive_or_neutral,wait,0,0,2
all,all,wait_heavy,block_light,wait,block,0,0,2
all,all,wait_light,decay_090,wait,decay,0,0,2
all,all,wait_light,wait_heavy,wait,wait,0,1,2
all,all,block_heavy,wait_heavy,block,wait,0,0,1
all,all,block_light,wait_heavy,block,wait,0,0,1
all,all,commit_heavy,wait_heavy,commit,wait,0,0,1
all,all,decay_095,decay_090,decay,decay,0,1,1
all,all,wait_light,decay_095,wait,decay,0,0,1
iteration,0,neutral_additive,neutral_additive,additive_or_neutral,additive_or_neutral,1,1,153
iteration,0,block_heavy,block_heavy,block,block,1,1,136
iteration,0,neutral_additive,block_heavy,additive_or_neutral,block,0,0,70
iteration,0,wait_light,wait_light,wait,wait,1,1,58
iteration,0,block_heavy,neutral_additive,block,additive_or_neutral,0,0,56
iteration,0,commit_heavy,commit_heavy,commit,commit,1,1,38
iteration,0,commit_heavy,block_heavy,commit,block,0,0,27
iteration,0,commit_heavy,wait_light,commit,wait,0,0,27
iteration,0,block_heavy,wait_light,block,wait,0,0,24
iteration,0,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,24
iteration,0,neutral_additive,wait_light,additive_or_neutral,wait,0,0,23
iteration,0,wait_heavy,block_heavy,wait,block,0,0,21
iteration,0,wait_light,block_heavy,wait,block,0,0,20
iteration,0,wait_light,commit_heavy,wait,commit,0,0,16
iteration,0,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,15
iteration,0,wait_heavy,neutral_additive,wait,additive_or_neutral,0,0,9
iteration,0,wait_light,neutral_additive,wait,additive_or_neutral,0,0,8
iteration,0,block_heavy,commit_heavy,block,commit,0,0,7
iteration,0,wait_heavy,commit_heavy,wait,commit,0,0,6
iteration,0,block_light,block_heavy,block,block,0,1,5
iteration,0,block_light,neutral_additive,block,additive_or_neutral,0,0,5
iteration,0,wait_heavy,wait_light,wait,wait,0,1,5
iteration,0,block_light,wait_light,block,wait,0,0,4
iteration,0,block_light,block_light,block,block,1,1,3
iteration,0,block_light,commit_heavy,block,commit,0,0,2
iteration,0,wait_heavy,wait_heavy,wait,wait,1,1,2
iteration,0,decay_090,neutral_additive,decay,additive_or_neutral,0,0,1
iteration,1,neutral_additive,neutral_additive,additive_or_neutral,additive_or_neutral,1,1,150
iteration,1,commit_heavy,commit_heavy,commit,commit,1,1,144
iteration,1,wait_light,wait_light,wait,wait,1,1,58
iteration,1,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,53
iteration,1,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,43
iteration,1,block_heavy,neutral_additive,block,additive_or_neutral,0,0,34
iteration,1,block_heavy,commit_heavy,block,commit,0,0,33
iteration,1,wait_light,neutral_additive,wait,additive_or_neutral,0,0,26
iteration,1,neutral_additive,wait_light,additive_or_neutral,wait,0,0,21
iteration,1,block_heavy,block_heavy,block,block,1,1,15
iteration,1,commit_heavy,wait_light,commit,wait,0,0,15
iteration,1,wait_heavy,neutral_additive,wait,additive_or_neutral,0,0,12
iteration,1,block_heavy,wait_light,block,wait,0,0,11
iteration,1,block_light,wait_light,block,wait,0,0,11
iteration,1,block_light,block_light,block,block,1,1,10
iteration,1,wait_heavy,commit_heavy,wait,commit,0,0,10
iteration,1,decay_095,neutral_additive,decay,additive_or_neutral,0,0,9
