group_type,group_value,threshold,sample_count,near_tie_count,near_tie_rate,neutral_count,mean_best_minus_second_margin,median_best_minus_second_margin,mean_best_minus_neutral_threshold
validation_iteration,1,0.01,120,85,0.7083333333333334,46,0.020312167809812123,0.004790203534950001,0.10140623847092106
validation_iteration,1,0.02,120,100,0.8333333333333334,46,0.020312167809812123,0.004790203534950001,0.10140623847092106
validation_iteration,1,0.05,120,114,0.95,46,0.020312167809812123,0.004790203534950001,0.10140623847092106
validation_iteration,2,0.001,111,24,0.21621621621621623,32,0.01225325965089495,0.004233301975500002,0.057203514455720444
validation_iteration,2,0.0025,111,42,0.3783783783783784,32,0.01225325965089495,0.004233301975500002,0.057203514455720444
validation_iteration,2,0.005,111,59,0.5315315315315315,32,0.01225325965089495,0.004233301975500002,0.057203514455720444
validation_iteration,2,0.01,111,81,0.7297297297297297,32,0.01225325965089495,0.004233301975500002,0.057203514455720444
validation_iteration,2,0.02,111,91,0.8198198198198198,32,0.01225325965089495,0.004233301975500002,0.057203514455720444
validation_iteration,2,0.05,111,104,0.9369369369369369,32,0.01225325965089495,0.004233301975500002,0.057203514455720444
validation_iteration,3,0.001,108,18,0.16666666666666666,47,0.012824140659369734,0.0034639895837750003,0.037935977700934806
validation_iteration,3,0.0025,108,40,0.37037037037037035,47,0.012824140659369734,0.0034639895837750003,0.037935977700934806
validation_iteration,3,0.005,108,61,0.5648148148148148,47,0.012824140659369734,0.0034639895837750003,0.037935977700934806
validation_iteration,3,0.01,108,76,0.7037037037037037,47,0.012824140659369734,0.0034639895837750003,0.037935977700934806
validation_iteration,3,0.02,108,89,0.8240740740740741,47,0.012824140659369734,0.0034639895837750003,0.037935977700934806
validation_iteration,3,0.05,108,104,0.9629629629629629,47,0.012824140659369734,0.0034639895837750003,0.037935977700934806
validation_map,empty-48-48,0.001,240,60,0.25,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
validation_map,empty-48-48,0.0025,240,106,0.44166666666666665,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
validation_map,empty-48-48,0.005,240,152,0.6333333333333333,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
validation_map,empty-48-48,0.01,240,204,0.85,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
validation_map,empty-48-48,0.02,240,228,0.95,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
validation_map,empty-48-48,0.05,240,240,1.0,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
validation_map,maze-32-32-4,0.001,219,39,0.1780821917808219,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
validation_map,maze-32-32-4,0.0025,219,62,0.2831050228310502,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
validation_map,maze-32-32-4,0.005,219,93,0.4246575342465753,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
validation_map,maze-32-32-4,0.01,219,120,0.547945205479452,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
validation_map,maze-32-32-4,0.02,219,150,0.684931506849315,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
validation_map,maze-32-32-4,0.05,219,190,0.867579908675799,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
